signal_time_utc,side,verdict,h1_close,h1_ema75,m15_close,m15_ema75
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
2026-08-19T16:12:00,SELL,blocked,68508.5,64221.58,68521.62,65008.15
2026-08-19T16:20:00,BUY,not_filtered_buy,,,,
2026-08-19T16:20:00,BUY,not_filtered_buy,,,,
2026-08-19T16:20:00,BUY,not_filtered_buy,,,,
2026-08-19T16:19:00,BUY,not_filtered_buy,,,,
2026-08-19T16:19:00,BUY,not_filtered_buy,,,,
2026-08-19T16:19:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:24:00,BUY,not_filtered_buy,,,,
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:38:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:38:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:38:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68861.8,65109.93
2026-08-19T16:39:00,SELL,blocked,68508.5,64221.58,68563.55,65201.06
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
2026-08-19T17:35:00,BUY,not_filtered_buy,,,,
