symbol,tf,state,k,nA,meanA_bp,tA,eocA,nB,meanB_bp,tB,eocB,same_sign,cost_bp
JP225m,H1,all_bars,4,14637,1.3919847659992435,2.378221405172166,0.3954624390940369,14633,1.5608038134947422,2.7721818290342504,0.4434238779824696,True,3.5198912169462537
XAUUSDm,M15,bigmove_up,1,601,-1.254570074531059,-2.3071465868074763,2.7699442691591383,635,-0.09042067126095284,-0.0893319525101687,0.19963828665881198,True,0.45292249685294367
XAUUSDm,M15,bigmove_up,4,601,-0.4851954615533473,-0.4217810272759791,1.0712549385924677,635,1.5527773611581592,0.8994788790626996,3.4283511460511975,False,0.45292249685294367
XAUUSDm,M15,bigmove_down,1,668,-0.7182121184015439,-1.0374325834746319,1.5857285151254814,649,0.9356095247314485,0.6765664114823822,2.0657166098667545,False,0.45292249685294367
XAUUSDm,M15,bigmove_down,4,668,-0.190864309412416,-0.14995166209105137,0.42140611415552287,649,3.761997941884108,1.6243939884273662,8.30605228935132,False,0.45292249685294367
XAUUSDm,M15,hivol,1,6066,0.06767414560400356,0.43103897798745805,0.14941661338137555,6674,-0.3643152448180922,-1.2329944130394597,0.8043655312983475,False,0.45292249685294367
XAUUSDm,M15,hivol,4,6066,0.20817401854963644,0.6682299790276581,0.4596239312379024,6671,-1.4963271041771917,-2.532842563978131,3.3037155685005066,False,0.45292249685294367
XAUUSDm,M15,lovol,1,6239,0.23271677594688533,2.039302103448385,0.5138114745102728,7267,-0.028167859132881348,-0.17869376960471192,0.062191344719242286,False,0.45292249685294367
XAUUSDm,M15,lovol,4,6239,1.1796036081997723,4.896036531061633,2.6044270628993944,7267,0.13601654818055073,0.42240725619336683,0.3003086601474623,True,0.45292249685294367
XAUUSDm,M15,session_open,1,1100,0.18287078247177488,0.7298526298075185,0.40375733981513834,1088,0.9222980691125436,1.8326808523967535,2.0363264698065957,True,0.45292249685294367
XAUUSDm,M15,session_open,4,1100,0.562232617794037,1.3300385941176982,1.241343986444958,1088,2.5027669206421828,2.609175516497108,5.525817193961971,True,0.45292249685294367
XAUUSDm,M15,all_bars,1,25000,0.14421181822962553,2.2011286434504957,0.31840285972027726,24999,0.08501149946262265,0.7510764147395703,0.18769546678142698,True,0.45292249685294367
XAUUSDm,M15,all_bars,4,25000,0.5758560529621327,4.364539437556512,1.27142294093001,24996,0.34168273919225045,1.516852076040754,0.7543956009391803,True,0.45292249685294367
XAUUSDm,H1,bigmove_up,1,414,-1.509234997547701,-0.6453888978195682,1.932113872629111,414,-0.7233917996160081,-0.39215179569071784,0.9260819777272971,True,0.7811314948502593
XAUUSDm,H1,bigmove_up,4,414,0.8405621789820119,0.23293069553958107,1.0760828164317522,414,3.2843314676577933,0.9186874720668817,4.204582057323639,True,0.7811314948502593
XAUUSDm,H1,bigmove_down,1,389,0.5707540654028755,0.27419000452386205,0.7306760374734186,435,2.634436298534404,1.2349073760697713,3.3725900388121177,True,0.7811314948502593
XAUUSDm,H1,bigmove_down,4,389,-0.509178259885056,-0.12225891142064108,0.6518470491100401,435,2.7665719400370246,0.8263043105271314,3.541749319130153,False,0.7811314948502593
XAUUSDm,H1,hivol,1,3948,-0.01080447854571203,-0.026080913455603878,0.013831830641757976,4137,0.5533778679863831,0.997611616238841,0.7084311305261913,False,0.7811314948502593
XAUUSDm,H1,hivol,4,3948,-0.7416099348570513,-0.9647938147329802,0.9494047285844182,4134,1.6447377016708602,1.504941377071689,2.105583646945578,False,0.7811314948502593
