ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx
2026-07-16T07:00:00+00:00,1784185200000,2610067760.4958,121532056.5379,1.31,61529220.641,60002835.8969,8.11290335628e-05
2026-07-16T08:00:00+00:00,1784188800000,2604260796.5615,441636969.0905,1.34,244390499.0311,194936772.3319,3.78071378877e-05
2026-07-16T09:00:00+00:00,1784192400000,2586754529.5919,630206553.7765,1.4,333629022.251,294404527.3249,3.78071378877e-05
2026-07-16T10:00:00+00:00,1784196000000,2602823494.255,147859701.8062,1.42,76577541.8958,71282159.9104,3.78071378877e-05
2026-07-16T11:00:00+00:00,1784199600000,2606355186.9439,104378618.8714,1.44,45707747.7996,58670871.0718,3.78071378877e-05
2026-07-16T12:00:00+00:00,1784203200000,2616428634.9884,116892060.1977,1.45,60270361.4618,56619711.9397,3.78071378877e-05
2026-07-16T13:00:00+00:00,1784206800000,2617656659.3057,254290453.6275,1.43,148625961.0501,104156756.0312,3.78071378877e-05
2026-07-16T14:00:00+00:00,1784210400000,2617890297.747,384079029.6185,1.44,166989630.7608,217062026.9997,3.78071378877e-05
2026-07-16T15:00:00+00:00,1784214000000,2602708398.6374,588901447.314,1.37,294014980.7098,294807917.2195,3.78071378877e-05
2026-07-16T16:00:00+00:00,1784217600000,2614926399.9354,367773341.1622,1.34,173292041.961,194436155.0686,1.498971488e-05
2026-07-16T17:00:00+00:00,1784221200000,2613998265.9843,242691341.9578,1.36,122095205.3976,120521157.0063,1.498971488e-05
2026-07-16T18:00:00+00:00,1784224800000,2582192636.5587,279485664.7274,1.41,153488052.2318,124661790.0186,1.498971488e-05
2026-07-16T19:00:00+00:00,1784228400000,2583034512.7867,119357927.9366,1.43,62643343.1276,56714584.809,1.498971488e-05
2026-07-16T20:00:00+00:00,1784232000000,2584623212.1079,64146402.9089,1.43,26390681.1132,37755721.7957,1.498971488e-05
2026-07-16T21:00:00+00:00,1784235600000,2581694670.2766,52916742.7228,1.44,36542411.4331,16374331.2897,1.498971488e-05
2026-07-16T22:00:00+00:00,1784239200000,2581236652.6113,36999210.0086,1.45,16584127.9881,20415082.0205,1.498971488e-05
2026-07-16T23:00:00+00:00,1784242800000,2595642392.67,152241203.2979,1.44,86734281.7165,65376835.3518,1.498971488e-05
2026-07-17T00:00:00+00:00,1784246400000,2584452191.9002,241383680.0571,1.46,137155258.3092,102117761.2487,5.3773733806e-05
2026-07-17T01:00:00+00:00,1784250000000,2580882370.7129,298022682.2591,1.49,144850264.99,152127126.6225,5.3773733806e-05
2026-07-17T02:00:00+00:00,1784253600000,2578432616.0544,394814083.3653,1.52,216411039.4984,176596263.768,5.3773733806e-05
2026-07-17T03:00:00+00:00,1784257200000,2578520375.7143,230957644.1047,1.5,112352137.2603,118217513.6001,5.3773733806e-05
2026-07-17T04:00:00+00:00,1784260800000,2577845656.1244,155710732.9523,1.5,75503214.8985,80206965.0957,5.3773733806e-05
2026-07-17T05:00:00+00:00,1784264400000,2580324385.9971,231981666.7013,1.53,121327615.1086,110321609.4382,5.3773733806e-05
2026-07-17T06:00:00+00:00,1784268000000,2612944115.812,646626295.5472,1.68,402061740.7523,240375988.1062,5.3773733806e-05
2026-07-17T07:00:00+00:00,1784271600000,2622701959.2038,423526964.1696,1.78,224682989.4013,197922451.5962,5.3773733806e-05
2026-07-17T08:00:00+00:00,1784275200000,2630782613.4679,182637118.0591,1.81,102783377.7314,79821721.0221,2.95604398968e-05
2026-07-17T09:00:00+00:00,1784278800000,2627440482.2163,270528882.7064,1.77,132089848.6776,138112013.8167,2.95604398968e-05
2026-07-17T10:00:00+00:00,1784282400000,2646136330.3089,146516784.0955,1.83,66100844.2673,80415939.8282,2.95604398968e-05
2026-07-17T11:00:00+00:00,1784286000000,2650942470.8153,167764021.5945,1.89,75055509.604,92708511.9906,2.95604398968e-05
2026-07-17T12:00:00+00:00,1784289600000,2658354182.9724,217674453.9286,1.87,102570427.0853,115103856.6648,2.95604398968e-05
2026-07-17T13:00:00+00:00,1784293200000,2642094995.8116,221397666.6984,1.8,131430141.3189,89955347.1442,2.95604398968e-05
2026-07-17T14:00:00+00:00,1784296800000,2661907309.0126,720392770.2897,1.82,341636307.5549,368433464.9729,2.95604398968e-05
2026-07-17T15:00:00+00:00,1784300400000,2654613562.8785,522745976.6272,1.77,268724738.2299,253891790.5891,2.95604398968e-05
2026-07-17T16:00:00+00:00,1784304000000,2620586173.5508,401105311.4101,1.78,192918486.2981,207538765.7659,5.46348466336e-05
2026-07-17T17:00:00+00:00,1784307600000,2615467735.0114,343054217.3962,1.76,171445722.3109,171608495.0853,5.46348466336e-05
2026-07-17T18:00:00+00:00,1784311200000,2572745584.4905,543644773.8712,1.72,233887094.7515,309757679.1198,5.46348466336e-05
2026-07-17T19:00:00+00:00,1784314800000,2558812021.1107,288150166.6891,1.73,147675490.8434,140474675.8457,5.46348466336e-05
2026-07-17T20:00:00+00:00,1784318400000,2548479008.0003,160746985.4938,1.7,78052377.5218,82585663.1014,5.46348466336e-05
2026-07-17T21:00:00+00:00,1784322000000,2559043637.8314,123540125.536,1.68,52671252.9244,70856742.7135,5.46348466336e-05
2026-07-17T22:00:00+00:00,1784325600000,2556001828.4175,63801007.1823,1.66,34930349.1093,28870658.073,5.46348466336e-05
2026-07-17T23:00:00+00:00,1784329200000,2552080232.5486,71713428.4212,1.64,42324059.2624,29367883.9205,5.46348466336e-05
2026-07-18T00:00:00+00:00,1784332800000,2549015274.2636,54785083.5672,1.62,30197601.5231,24571517.5168,3.80167412203e-05
2026-07-18T01:00:00+00:00,1784336400000,2549886435.2621,50398685.3482,1.61,23944373.7444,26454311.6038,3.80167412203e-05
2026-07-18T02:00:00+00:00,1784340000000,2550348443.1733,41276469.3909,1.61,17040615.8768,24235764.0387,3.80167412203e-05
2026-07-18T03:00:00+00:00,1784343600000,2550039549.7036,66652768.2519,1.61,29186947.3734,37465820.8786,3.80167412203e-05
2026-07-18T04:00:00+00:00,1784347200000,2552108131.7802,44999057.5897,1.61,19899823.9111,25099233.6785,3.80167412203e-05
2026-07-18T05:00:00+00:00,1784350800000,2556087988.627,35977674.1527,1.61,18138613.8553,17839060.2975,3.80167412203e-05
