ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx,funding_deribit
2026-08-01T12:20:00+00:00,1785586800000,2557907241.5096,2761378.1868,2.05,964431.8486,1796946.3383,1.76130021183e-05,6.297897494544886e-07
2026-08-01T12:25:00+00:00,1785587100000,2556644050.787,2698422.4638,2.05,1237130.4088,1461292.055,1.65683093402e-05,6.906268795796607e-07
2026-08-01T12:30:00+00:00,1785587400000,2556564695.9278,1567909.0154,2.06,873917.213,693991.8025,1.61425319554e-05,6.906323585259637e-07
2026-08-01T12:35:00+00:00,1785587700000,2557465471.5557,2992206.3871,2.06,2564466.2211,427740.1661,1.53173515641e-05,7.83273508380917e-07
2026-08-01T12:40:00+00:00,1785588000000,2557750770.1456,3553636.9669,2.06,1898527.7311,1655109.2358,1.36249255825e-05,9.486774031704431e-07
2026-08-01T12:45:00+00:00,1785588300000,2558615682.8029,2934572.518,2.05,1275635.0687,1658937.4493,1.21851563289e-05,1.2625296606534563e-06
2026-08-01T12:50:00+00:00,1785588600000,2558515925.6773,2434781.9985,2.05,416207.6688,2018574.3297,1.16938051142e-05,1.5037048269953777e-06
2026-08-01T12:55:00+00:00,1785588900000,2559025080.4372,1347034.6474,2.05,530486.2196,816548.4278,9.9887926381e-06,1.6004971146423723e-06
2026-08-01T13:00:00+00:00,1785589200000,2559378557.709,2445994.0322,2.05,1369674.9944,1076319.0378,7.9287263852e-06,2.0889679464597587e-06
2026-08-01T13:05:00+00:00,1785589500000,2559406524.25,2608160.1545,2.05,893806.3034,1714353.8511,4.9819326426e-06,2.068663381319812e-06
2026-08-01T13:10:00+00:00,1785589800000,2560922533.1521,4195209.9872,2.05,3044627.5715,1150582.4157,2.9073855213e-06,1.8571095734915066e-06
2026-08-01T13:15:00+00:00,1785590100000,2559761504.2128,4244350.6181,2.05,2387232.9129,1857117.7052,1.6215138073e-06,2.8644123937407617e-06
2026-08-01T13:20:00+00:00,1785590400000,2559959690.1438,1627643.8622,2.05,1192458.7187,435185.1435,-4.06618681e-08,3.4650496401914226e-06
2026-08-01T13:25:00+00:00,1785590700000,2560216993.1953,1329270.6593,2.05,1054910.9989,274359.6604,-2.4390115221e-06,3.4702386115960785e-06
2026-08-01T13:30:00+00:00,1785591000000,2559924662.4874,2904724.2687,2.05,2092411.5159,812312.7528,-4.1012113932e-06,3.498925689486895e-06
2026-08-01T13:35:00+00:00,1785591300000,2560315956.9084,3097667.9064,2.05,1834672.3972,1262995.5091,-6.2212900027e-06,3.3936672514065336e-06
2026-08-01T13:40:00+00:00,1785591600000,2560155040.218,2322863.1288,2.05,1708992.103,613871.0258,-8.3218175488e-06,3.922080825107428e-06
2026-08-01T13:45:00+00:00,1785591900000,2560502522.8928,1352991.8016,2.04,997548.9905,355442.811,-9.8123818293e-06,4.631570830242994e-06
2026-08-01T13:50:00+00:00,1785592200000,2560603664.9831,3592406.1491,2.04,1054369.8363,2221623.3273,-1.05143456684e-05,4.713161241750219e-06
2026-08-01T13:55:00+00:00,1785592500000,2560931560.9515,3275993.1635,2.04,1054369.8363,2221623.3273,-1.14834835185e-05,4.647515342249137e-06
2026-08-01T14:00:00+00:00,1785592800000,2560056531.692,6528942.8234,2.04,451394.2446,2384388.4565,-1.16720960629e-05,4.298809459526315e-06
2026-08-01T14:10:00+00:00,1785593400000,2559074281.7281,4080723.727,2.09,2436445.9677,1644277.7593,-1.18841574219e-05,4.249634435027744e-06
