time,open,high,low,close,tick_volume,spread,real_volume
1785643620,63447.61,63452.31,63447.61,63448.04,42,1000,0
1785643680,63448.04,63451.93,63447.52,63448.63,51,1000,0
1785643740,63448.64,63457.17,63435.6,63453.95,58,1000,0
1785643800,63453.08,63466.64,63448.53,63462.16,58,1000,0
1785643860,63462.15,63472.62,63457.84,63461.45,59,1000,0
1785643920,63461.83,63485.17,63461.27,63481.1,56,1000,0
1785643980,63479.76,63488.02,63479.76,63482.03,55,1000,0
1785644040,63481.16,63485.12,63462.77,63464.74,60,1000,0
1785644100,63466.15,63475.33,63456.03,63456.11,54,1000,0
1785644160,63458.93,63476.51,63452.22,63454.31,65,1000,0
1785644220,63456.83,63457.11,63438.17,63438.47,56,1000,0
1785644280,63443.41,63449.75,63437.91,63442.39,56,1000,0
1785644340,63445.54,63459.11,63444.44,63451.13,57,1000,0
1785644400,63452.03,63494.32,63452.03,63482.95,70,1000,0
1785644460,63485.55,63486.39,63479.89,63483.34,55,1000,0
1785644520,63487.1,63489.52,63460.26,63462.13,66,1000,0
1785644580,63464.27,63473.77,63463.56,63464.26,55,1000,0
1785644640,63464.24,63474.91,63464.23,63472.99,52,1000,0
1785644700,63474.84,63489.61,63468.6,63476.95,63,1000,0
1785644760,63478.08,63490.02,63476.91,63479.43,55,1000,0
1785644820,63479.41,63484.47,63472.12,63472.13,57,1000,0
1785644880,63472.13,63477.78,63461.48,63474.5,59,1000,0
1785644940,63470.88,63475.71,63462.53,63466.81,53,1000,0
1785645000,63466.83,63473.51,63459.88,63471.14,60,1000,0
1785645060,63473.06,63478.44,63466.33,63466.59,56,1000,0
1785645120,63466.86,63487.93,63466.86,63477.01,61,1000,0
1785645180,63482.27,63492.12,63476.21,63492.12,59,1000,0
1785645240,63492.12,63492.12,63462.5,63470.51,64,1000,0
1785645300,63470.51,63479.15,63470.51,63470.87,53,1000,0
1785645360,63474.26,63478.61,63470.05,63471.95,52,1000,0
1785645420,63472.26,63473.17,63445.3,63455.48,62,1000,0
1785645480,63456.92,63458.22,63449.9,63456.17,53,1000,0
1785645540,63453.81,63467.73,63450.32,63466.24,59,1000,0
1785645600,63466.24,63467.96,63448.58,63459.97,60,1000,0
1785645660,63457.61,63463.03,63454.47,63457.89,57,1000,0
1785645720,63457.18,63457.18,63450.14,63453.35,55,1000,0
1785645780,63456.31,63458.94,63451.14,63458.61,55,1000,0
1785645840,63459.17,63459.34,63450.42,63453.85,56,1000,0
